date,dates,rank,song,artist
01/08/1960,01/08/1960,2,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland
01/08/1960,01/08/1960,3,It's Now Or Never,Elvis Presley With The Jordanaires
01/08/1960,01/08/1960,4,Only The Lonely (Know How I Feel),Roy Orbison
01/08/1960,01/08/1960,5,Alley-Oop,Hollywood Argyles
01/08/1960,01/08/1960,6,Image Of A Girl,Safaris with The Phantom's Band
01/08/1960,01/08/1960,7,Tell Laura I Love Her,Ray Peterson
01/08/1960,01/08/1960,8,"Please Help Me, I'm Falling",Hank Locklin
01/08/1960,01/08/1960,9,Mule Skinner Blues,The Fendermen
01/08/1960,01/08/1960,10,That's All You Gotta Do,Brenda Lee
01/08/1960,01/08/1960,11,Everybody's Somebody's Fool,Connie Francis
01/08/1960,01/08/1960,12,When Will I Be Loved,The Everly Brothers
01/08/1960,01/08/1960,13,Walking To New Orleans,Fats Domino
01/08/1960,01/08/1960,14,Finger Poppin' Time,Hank Ballard And The Midnighters
01/08/1960,01/08/1960,15,Feel So Fine,Johnny Preston
05/09/1960,01/09/1960,1,It's Now Or Never,Elvis Presley With The Jordanaires
05/09/1960,01/09/1960,2,The Twist,Chubby Checker
05/09/1960,01/09/1960,3,Walk -- Don't Run,The Ventures
05/09/1960,01/09/1960,4,Volare,Bobby Rydell
05/09/1960,01/09/1960,5,I'm Sorry,Brenda Lee
05/09/1960,01/09/1960,6,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland
05/09/1960,01/09/1960,7,Mission Bell,Donnie Brooks
05/09/1960,01/09/1960,8,Finger Poppin' Time,Hank Ballard And The Midnighters
05/09/1960,01/09/1960,9,My Heart Has A Mind Of Its Own,Connie Francis
05/09/1960,01/09/1960,10,Theme From The Apartment,Ferrante & Teicher
05/09/1960,01/09/1960,11,In My Little Corner Of The World,Anita Bryant
05/09/1960,01/09/1960,12,Only The Lonely (Know How I Feel),Roy Orbison
05/09/1960,01/09/1960,13,Mr. Custer,Larry Verne
05/09/1960,01/09/1960,14,Yogi,The Ivy Three
05/09/1960,01/09/1960,15,"Please Help Me, I'm Falling",Hank Locklin
03/10/1960,01/10/1960,1,My Heart Has A Mind Of Its Own,Connie Francis
03/10/1960,01/10/1960,2,Chain Gang,Sam Cooke
03/10/1960,01/10/1960,3,Mr. Custer,Larry Verne
03/10/1960,01/10/1960,4,The Twist,Chubby Checker
03/10/1960,01/10/1960,5,A Million To One,Jimmy Charles and The Revelletts
03/10/1960,01/10/1960,6,Save The Last Dance For Me,The Drifters
03/10/1960,01/10/1960,7,It's Now Or Never,Elvis Presley With The Jordanaires
03/10/1960,01/10/1960,8,Walk -- Don't Run,The Ventures
03/10/1960,01/10/1960,9,So Sad (To Watch Good Love Go Bad),The Everly Brothers
03/10/1960,01/10/1960,10,Theme From The Apartment,Ferrante & Teicher
03/10/1960,01/10/1960,11,Kiddio,Brook Benton
03/10/1960,01/10/1960,12,Devil Or Angel,Bobby Vee
03/10/1960,01/10/1960,13,Pineapple Princess,Annette With The Afterbeats
